gene,degree,diversity
COPE,166,63.8521596694029
DCTN1,202,102.68969757865963
M6PR,151,59.42738841503143
LDLRAP1,121,42.63377532659311
SH3GL2,187,78.54871357841849
STX10,53,30.7692046977066
GCC2,50,29.34295333055152
SYNJ2,165,66.43311248810868
APOB,328,128.156644708768
HIP1R,163,58.12629655031795
FNBP1L,123,45.295697684708415
WASL,199,91.56422658966761
AP2A1,236,107.14975484865316
NSF,176,89.92838854852437
RAB5B,193,64.84015252114119
IGF2,137,86.01917108905711
SYT8,118,40.28140480199653
CTSZ,147,72.56007092974359
CD3G,228,105.03703019996078
AP2B1,192,89.52454439525958
UBC,1188,379.2990819875735
SYT2,140,56.992186413755554
ITSN2,135,51.4867248430082
EPS15L1,127,43.12976494017713
PACSIN1,124,46.15669076090399
CD4,185,86.06373944734212
AP1M2,77,42.152280032015106
SYNJ1,168,69.86353759438619
RAB9B,89,31.67575849903055
AMPH,128,48.23161021562565
VPS51,47,24.719108848523106
UBQLN2,116,72.79022888547557
STAM2,165,64.16911097143475
ARPC5,158,60.36247342463199
TACR1,279,79.23617299991919
IL7R,166,75.70945195213247
DAB2,130,51.13932685826755
REPS2,118,40.2077212920653
STAM,169,67.73403998297731
STON1,132,52.06203601471421
RAB5C,277,89.17352786067896
CFTR,246,137.86129599775316
SNX18,117,40.19538945460987
SYT9,125,46.48028638041296
FNBP1,122,43.950466088832236
KIF13A,12,11.56137830875616
AP1S1,126,62.89008889781056
SLC18A3,140,54.08786411723305
AVP,382,96.25912847994228
DVL2,261,123.8616210290926
BIN1,139,57.88291895071153
NAPG,131,62.51341828328947
TRIP10,159,72.99089970801215
LRP2,161,72.6546151087077
CBL,285,142.42912128202335
SH3KBP1,168,74.96363456449214
ADRB2,274,96.96549418763927
AP1S2,88,44.28051508902487
SYT11,128,47.965334279149886
GAK,174,68.68854299214907
VPS54,55,31.22959063099588
REPS1,125,45.044658381872615
GNS,110,45.69258724953824
NECAP1,152,48.87660887443823
STX16,84,39.468354613422804
IGF2R,190,76.41566210633924
FCHO1,106,43.172103685241005
EGFR,483,286.0705189115676
TFRC,196,74.92263675558995
AP2S1,212,89.04611636451911
CLTC,215,104.62659070606686
EPS15,147,58.72177441639541
SNX9,154,50.8456079738263
VTI1A,85,42.89737840458292
TF,256,82.228459404563
GGA2,19,16.72243879390769
VPS53,60,35.777618292854974
PICALM,177,67.42216104310562
PIK3C2A,192,77.62576469732522
AVPR2,243,75.54818872371894
LDLR,154,66.51153252340704
VAMP7,206,75.89917652890031
WNT5A,224,97.79925822056255
NAPB,145,64.88248925871157
RAB5A,240,94.71831655501677
AP2M1,230,103.66925954849802
RABEPK,21,15.849202835682963
DNM3,139,58.44482898321727
RHOBTB3,17,12.797562282197205
SYT1,170,68.95573794949641
OCRL,218,91.23524911115982
VAMP8,345,104.12852992089758
ITSN1,166,72.56460309268913
UBB,1186,380.76612931582025
ARPC1A,163,64.85519710847198
CLTA,206,97.06072181550942
HGS,173,68.97530415321071
UBA52,1435,424.5095143362553
VAMP3,184,76.04765952869894
DNM2,186,86.96936948083368
AP2A2,213,89.42102712321119
EPN1,130,47.619577446654674
AAK1,121,42.01729719871201
VPS52,54,30.98341698421744
STON2,132,51.53560377846383
FZD4,188,81.52470770006852
CD3D,192,89.58261614541638
CHRM2,349,75.40656690270437
HIP1,120,42.13897936758065
PACSIN3,123,44.164166740155736
EPN2,122,42.649451343483186
VAMP4,186,70.59745958360149
EGF,412,209.17791217260338
ACTR3,178,76.94676047155436
KIAA0319,127,46.6808278439135
SH3GL1,135,51.5324769558753
ACTR2,274,103.69706895913491
NAPA,187,84.26954865039671
SGIP1,164,58.94062694370723
SNAP91,120,41.71284421448859
SH3GL3,129,46.20255773447339
ARRB2,259,131.1213574284416
GAPVD1,127,52.44495257049926
RPS27A,1400,422.7309673580206
SLC2A8,117,39.418595769485336
ARRB1,277,127.23821242461601
ARPC2,166,66.59181839272921
HSPA8,477,175.41065172403293
TXNDC5,143,59.9886385937732
DNM1,197,104.59604995912221
RAB9A,93,34.960563275160766
DNASE2,25,21.100291382648305
AGFG1,125,46.31938464419682
VAMP2,268,108.32433477113189
PLIN3,23,18.836077623311784
PGRMC1,103,44.46785846061043
FCHO2,109,45.17210368524103
CLTB,180,79.37581562803857
TGOLN2,296,94.13365708630202
AP1M1,177,81.22372973348493
CTTN,200,98.91686032319618
NECAP2,155,58.963996239610225
PACSIN2,122,43.500319512377686
AP1S3,72,40.080831413929175
ARPC4,160,61.192872014820274
ARPC3,165,65.56597207275425
CLTCL1,143,58.107341016854264
SCARB2,122,44.19609603012519
DNAJC6,186,76.20084513700508
AGTR1,336,113.58865560696007
FKBP4,56,46.413062677563424
NR3C2,49,42.31219414208603
NRIP1,72,56.178170173401185
HSF1,50,44.411837636381826
NR3C1,151,124.9266294563109
S100A1,20,16.917097210522535
AHSA1,31,25.28496079892615
PPP5C,65,55.735764389180034
ESR1,290,221.93573759322976
GLMN,283,50.39739037162651
GATA3,117,91.79507680186637
PHLPP1,16,13.304096668556724
FKBP5,31,26.620620805850248
HSPA1A,122,77.85526574960939
PPID,29,24.56067286012703
HSPA2,167,87.04879938221379
MAPK1,522,299.9535431030369
PTGES3,127,101.63651244153989
ATOX1,17,11.842437371674473
TLE3,56,45.37225078999927
HSPA4,160,110.6743183834808
HSP90AA1,438,262.80677309477466
HSP90AB1,163,124.77581443465499
NCOA3,205,111.44230582141566
STIP1,60,41.68828437060268
MTOR,193,136.5327744257435
EP300,558,282.94163777533197
FOXA1,70,58.81553768605153
HSPA1L,85,51.70231752365994
ESR2,70,62.28804877372561
AKT1,527,367.88712512421455
PHYH,26,20.62201258486543
PGR,89,77.08511184235256
MAPK3,412,266.6079974826707
AR,211,171.83268274769162
CLCA1,10,8.039987733189488
HSPA1B,81,47.846947375649094
CYP26B1,22,16.140252534581357
CYP3A4,99,41.17830341974921
RARS,52,28.49720037514231
CYP2S1,40,26.129798564406546
CYP26A1,45,27.171148428193234
CYP2A6,67,35.38626063913911
CYP3A5,72,34.632160755676736
CYP2C9,72,37.51681931201489
CYP2B6,79,40.507903419529924
STRA8,10,9.517065801952807
ALDH1A2,36,25.421884272279744
CYP1A2,80,40.20804774319558
ALDH1A3,34,28.529743633899205
AOX1,72,46.304487946137016
CYP1A1,106,51.46527818778657
CYP3A7,46,26.203073296940058
ALDH1A1,46,32.23547174886026
CYP2C8,60,32.80752155097597
NANOS2,17,13.380384088191935
CYP2C18,41,29.705449487181827
CYP26C1,19,13.600265479153123
CRABP1,6,5.429431679431679
CYP4A11,61,36.6151972525725
NDUFAF7,61,23.431089933111117
NDUFA1,82,23.363753545558975
MT-ND1,77,24.2040583904713
NDUFA7,100,35.891036755139396
METTL20,15,8.142894612073107
NDUFS5,101,33.69915722299408
NDUFB7,122,37.35326194773661
NDUFA10,88,26.075833188227502
ECSIT,69,33.70685080315795
NDUFS7,101,36.46278422060615
NDUFA5,103,27.396040048572406
NDUFS2,98,34.12035296992535
NDUFS3,104,31.684644867203705
NDUFA12,102,28.791926210976907
NDUFA8,100,28.655021960430467
MT-ND4,73,23.67919159429223
NDUFA13,93,33.288979114852935
NDUFA3,74,22.273664577728503
NDUFS8,107,31.091521548305156
MT-ND2,72,23.525690938420034
NDUFB6,87,21.958599174464158
NDUFS1,93,30.32362898497433
NDUFV2,99,28.990361929695265
NDUFB9,104,29.777955798448215
NDUFAF2,56,22.181204593749204
MT-ND5,74,25.23820804422413
NDUFC1,79,24.858972016931936
NDUFS4,103,26.73221219058928
NDUFA9,106,38.80272060273284
NDUFB2,78,22.31469733008612
NDUFB4,79,22.86498147996302
NDUFB1,72,21.25734332242763
FOXRED1,57,26.31010380110894
NDUFV3,70,20.110386205002467
NDUFB8,140,44.98491489287966
NDUFB11,88,26.678201528188524
NDUFA2,95,28.420187589195137
NUBPL,29,22.944574437917474
NDUFB5,107,27.185398485460965
NDUFAF6,55,19.698268438069892
TIMMDC1,73,32.29054216219224
METTL10,13,6.86515647523051
NDUFB10,96,28.018622006789336
NDUFAF3,60,25.051887078937096
NDUFA6,99,23.563687385679607
NDUFC2,143,44.537659771850564
NDUFS6,98,27.212406788151235
NDUFAB1,163,69.32045900582528
MT-ND6,71,23.157716582134242
MT-ND3,73,22.464906201446965
TMEM126B,58,23.220262797998863
METTL13,7,6.424884792626728
NDUFV1,97,33.91211366958418
NDUFA11,102,30.687437012580837
NSUN3,24,21.974805967881025
METTL12,5,4.301523971218368
NDUFB3,85,24.137643103640922
ACAD9,67,31.5326420687304
MTRF1L,96,28.473311586949816
NDUFAF5,63,25.355464984674526
NDUFAF4,60,24.56946787940152
NDUFAF1,60,24.04319705037792
FUCA2,191,51.55738074490319
MPO,122,57.18622711891644
HSP90B1,180,82.0528909898917
P4HB,215,82.49099409537386
ARSA,104,31.512558449377448
DSN1,194,73.7947236074856
RETN,165,65.56929387011536
FSTL3,110,31.802472904698924
PDIA6,132,46.88572026294616
VAT1,86,26.86201996690774
AGA,105,37.85043625452869
CECR1,93,33.43739917074681
HMHA1,104,42.50505785550279
TNC,125,43.80649094127312
AFP,137,53.642596622907355
GDI2,194,88.04177805793786
CP,125,43.40368834578488
MSLN,180,41.95506781912707
ARG1,160,60.23770040665494
ELANE,162,64.54237747605679
CALU,117,37.63968332183954
ANO8,106,28.047685651243427
MAN2B1,89,28.360833898074613
AMELX,115,33.01911544341729
MFGE8,112,33.29443852494422
GAS6,164,47.390793072355606
CHRDL1,114,34.08973128582185
PA2G4,221,113.43407777779652
CHGB,117,35.507758921056876
CYB5R3,99,36.29494815837612
MXRA8,108,30.028994062458395
NAPRT,112,42.53844040206375
GUSB,131,61.21887747465038
PLAC8,89,28.400552349557767
RCN1,119,39.43400093701235
FAM20C,112,33.23174829597184
SDC2,221,87.45016176264494
RNASET2,91,31.6028444609675
CST3,170,58.010290303076516
GCA,105,38.652657034353595
SCG3,110,30.362375011820173
FRK,143,48.180204263694186
SDCBP,118,54.61254043748889
STC2,107,28.92173517246278
PRKCD,205,124.94353555923
VGF,109,30.604675573311855
FBN1,135,49.65088502265292
MFI2,170,32.17237351007654
MEPE,111,32.14938530285519
FSTL1,111,31.588648054199076
AMBN,115,33.033471213408596
SPP2,126,37.256324242888454
KTN1,118,39.23581091118517
SERPINA1,232,78.14581099355719
NOTUM,133,47.1709365955378
C3,453,102.57367693960596
HRC,108,30.028994062458395
PRSS23,106,28.047685651243448
IGFBP4,114,34.13637163722595
GLA,107,40.98015974263943
PSMD1,319,133.7862450758837
PRDX6,105,42.02569818671128
LAMC1,170,65.66460766445407
ANXA2,118,52.51808693319031
AZU1,86,26.65075020470844
ALB,275,130.38296998423297
VWA1,109,30.791136810714733
BMP4,218,99.34481332759029
ITIH2,118,34.69304482540201
APOA2,189,74.4985102599616
NPC2,92,32.444921235457215
APOA5,157,56.61646515322069
FAM20A,110,30.05832126271198
CAP1,107,44.54292163669328
EVA1A,107,29.03825168897929
LYZ,165,49.40992967110213
CREG1,86,26.827865936274833
ENAM,115,31.74180454674193
APOE,194,83.57750250458184
IGFBP5,115,34.34632036067101
ARSB,104,30.97906938319826
APP,639,169.95768638508068
IMPDH1,124,53.11094181944906
MIA3,118,37.252037903291324
IGFBP1,113,33.767123633541374
CCT8,271,156.28212689177974
GGH,188,66.1011703825408
SCG2,113,31.643060561902278
IGFBP7,114,35.112043684406515
PLGLB1,9,8.626889958705387
SERPINC1,158,57.67582386551667
UNC13D,92,31.653986082298662
KNG1,527,89.86697306513615
FGF23,186,76.85430518686508
PYCARD,115,42.27967282860247
C6orf120,86,26.862019966907738
NHLRC3,86,26.86201996690774
SPP1,165,74.38199986784473
GPC3,187,61.73043281493599
MATN3,114,35.285009989706424
SERPINA10,113,32.646857471911055
MGAT4A,114,31.208833635510896
TUBB4B,239,68.28128540206389
VCP,215,115.16494582907634
DMP1,112,32.68340094627435
TOLLIP,159,59.13734105432242
ARSK,13,4.770307076815764
APOA1,215,89.87606362777504
PTGES2,100,37.13151111235374
PRKCSH,121,41.41682730691957
CDH2,200,91.43554399749617
PCSK9,130,49.14466801610827
HEXB,103,37.34041058621222
PROC,144,55.17755053678719
NUCB1,109,30.84182240782762
GLB1,131,59.974544128117145
TMEM132A,106,28.047685651243423
PADI2,87,27.850528858836608
CCT2,288,165.78480592036348
F5,227,72.2675239169051
MEN1,179,84.94985462065137
DPP7,92,31.203455002460426
MNDA,96,36.081101489244595
TRAPPC1,159,55.10791718326433
C4A,141,45.08751683384129
GM2A,90,29.785841779131015
MBTPS1,117,36.378297950563066
SERPIND1,122,38.24426472859477
AMTN,110,30.61691206426984
IGFBP3,134,49.65014071967874
PYGB,121,48.86338185899042
CKAP4,239,67.30450432291538
TUBB,223,68.20809291359032
ORM2,210,74.93652895928228
HEBP2,91,31.03715121268458
FUCA1,87,27.72806243157007
FTL,133,54.04562012824624
CTSC,157,59.77208720773485
SPARCL1,107,29.03825168897929
ADAM10,269,95.11475128157034
IL6,437,229.92889201689218
BPI,145,47.820454574404046
QSOX1,238,66.16227949866172
SERPINB3,92,31.55443735344277
APLP2,115,35.59177223327994
S100A7,93,32.821951580976375
FAF2,134,60.44938662953708
LAMB1,184,77.18513979796641
CSF1,149,64.82378398003219
PENK,334,62.62289415255622
SHISA5,108,29.997720488243985
PNPLA2,147,55.9667330228739
DNAJC3,226,77.54898790397688
VCAN,163,53.39175985185591
LTBP1,111,32.30399962477772
CYR61,119,39.5047112557502
PRTN3,99,38.585565147705466
TIMP1,190,66.00372791952645
LGALS1,112,33.72728178782294
ACLY,138,63.81246531296794
HRNR,86,26.86201996690774
AHSG,194,65.8853810995993
GOLM1,107,28.982230279523446
CTSA,100,39.21372825237007
WFS1,119,37.596907540756085
RNASE3,91,30.149813211292297
LAMB2,153,55.55424145724877
RNASE2,90,30.050068538500746
FGG,259,90.30216747972983
FGA,270,98.7306954478047
IST1,112,42.92769166810974
FN1,350,160.7388181651062
PRSS3P2,96,33.96199900968931
CTSG,111,46.709437435972866
BPIFB2,112,32.965810858294475
BMP15,121,39.96487814699563
GRN,101,39.97737410750571
STK11IP,87,27.820118376507725
FABP5,105,42.884284675490335
APOL1,130,37.469285730858104
GALNS,93,30.50965043287856
CPPED1,93,32.001929032172974
TTR,110,46.8348683457174
HS3ST1,21,16.267836894300743
HS2ST1,28,10.978496541207887
UST,18,9.549415065249558
GPC6,59,23.215709824874782
HS6ST1,25,13.782964423275239
HSPG2,130,78.72370818704377
SDC1,141,77.80733195448296
EXT1,25,15.889314759476461
AGRN,116,58.44292384327198
GPC2,59,23.148221216136267
GCNT4,32,19.605472569616744
GPC5,62,25.90741030239836
GPC1,97,48.33239098188183
GCNT2,21,14.305834924138187
ENSP00000359579,14,11.265656978040878
SDC3,94,47.24564636627417
GCNT1,51,16.327517711341997
SDC4,110,59.03286899659558
GLCE,27,10.430505858054282
GPC4,68,31.471960950221664
SEMA3F,21,18.66273249824815
NTN1,52,38.435660358539714
PLXNB2,29,23.41534051454702
EFNB1,99,65.45396938156803
PLXNC1,16,15.10412294451554
EFNB3,83,55.11288824472798
PLXNB1,41,27.830895260089427
EFNA3,53,32.4722443510493
PLXNA4,43,27.769514027292367
PLXND1,41,34.88297887678355
PLXNA3,46,29.54115022256302
EFNA1,86,55.04060351165757
EFNA2,55,34.04306970795453
PLXNB3,28,22.79244391814021
PLXNA1,50,33.038584092155084
NRP1,67,42.18607797402181
PLXNA2,43,27.261487028614106
VEGFA,316,205.31101870294793
EFNA5,66,41.34768629421325
EFNB2,95,65.31246226636814
NRP2,35,25.54222042668632
EFNA4,57,36.41582962798531
PSMB9,212,91.73589716551861
PSMC5,274,134.80998280328225
SNX3,25,20.46131915298055
PSMC2,266,130.85957291066535
BEST3,6,5.342143414742946
AGT,424,96.35455556916126
PSMD11,241,111.87740075416569
PSME1,200,86.30549727523025
PSMD4,241,108.44467028018089
CLCN3,5,3.914880713489409
PSMB4,221,100.94921247055711
PRKAB2,72,45.77293262973692
RHOQ,166,66.60951584553877
PRSS1,20,17.422924860433596
YWHAG,194,86.1937372352749
PSMB11,187,81.7058220561102
SLC26A3,6,5.683709208321009
PSMA6,236,111.79469211657181
PSMB1,207,89.64574710654682
PSMC4,257,124.01615923827052
BEST2,7,5.517006802721089
ERLEC1,38,25.8823044781834
BEST4,6,4.7877551020408164
PRKAR1A,95,74.29554542988843
PSMD6,220,97.20038912340372
PRKAR2A,108,83.26603624646566
PSMA1,232,104.84219474390002
PRKAR2B,213,100.64424036396962
PSMB7,205,87.68120479940062
RNF185,20,15.339381940896612
DNAJA1,30,23.216313622505428
EZR,88,74.58975082286523
PSME4,191,83.65152645082796
FLNA,75,62.52278074456641
PRKAG3,58,36.75356233908787
BEST1,10,9.117416638786661
PRKAA1,75,48.554185584568
ERLIN1,27,20.498875156638896
CCL4,290,79.06069465302384
SLC4A7,6,5.863636363636363
PSMC6,223,97.64565012569643
USP10,43,37.21066822931236
FLNC,50,43.13397094673882
DERL1,45,30.938159898632975
PRKACA,359,213.77632392750587
PSMA8,190,82.6604078756355
RNF5,24,18.679815258687654
ANO1,16,12.306802869392799
OS9,55,36.608850224379104
SLC26A8,7,6.940785035221145
SCNN1G,33,23.043347976237754
PSMA2,242,116.87271419345355
SCNN1B,30,20.277482463607853
SLC4A4,10,9.222705037912814
PSMD5,201,87.76263213687031
CLCN2,11,9.12418967587035
SLC9A3R1,49,43.619818859313476
PRKAG2,71,46.03865187067214
SLC12A2,20,19.297300464509718
SLC26A9,1,1.0
PRKACG,229,176.72985601331706
PSMA3,272,137.81824622744796
DERL3,25,18.334923760866445
CANX,91,70.6630480504509
PSME3,220,106.28212476018014
PSMB2,219,97.83420431665142
CXCL12,334,114.00043896135396
PSMF1,199,85.61127694167986
PSMD10,204,87.48977545917079
PSMB3,211,93.65693130749823
GLRA1,10,6.600874097262572
GOPC,11,10.493669265097836
YWHAZ,160,125.19350475971918
FLNB,32,28.158415503133558
CCL11,94,76.61895734428781
PSMB6,214,96.36459615046579
PSMC3,216,92.74088916656305
PDZK1,20,14.67060892868346
KCNJ1,11,8.514924635286024
PSMD9,201,86.77140055244634
F2,269,122.73650490192281
PSMD8,217,92.74301253904432
PSMD3,219,95.68263231332077
PRKAG1,85,57.55165745355828
PSME2,201,88.18462017208374
PSMD12,224,98.39683449101182
PSMB10,203,87.24589387827925
PSMD13,214,91.06042375990782
PSMA5,253,123.36141838593836
PSMD7,218,93.33960157201484
ANO2,5,4.305895691609978
CXCL8,386,153.32420226484567
TJP1,62,50.80010458888261
SCNN1A,32,21.459475959957732
CLCN1,9,7.097562358276644
PSMD14,237,109.14128962630653
PRKACB,237,183.12973355243986
GNGT1,929,96.54551598201579
SLC9A3,24,20.51490039521839
PSMB8,249,107.1412946856427
PSMA7,249,124.06170566474886
EDN1,264,118.13636269961137
PSMA4,236,109.33498264444358
PRKG1,67,56.488996873423645
PSMC1,255,124.32051104934429
KCNN4,23,13.962457917982002
GLRA3,13,8.63478733468869
STUB1,303,73.95896346185475
ANO6,123,35.98542222512007
SLC26A6,7,6.36986007980614
DERL2,47,29.750370643156366
GNB1,975,129.4545307056233
PSMD2,243,114.34271688519453
PRKAR1B,84,65.30964725798128
SPINK1,9,7.609036389675487
SEL1L,52,32.87511693176005
ERLIN2,62,45.62370407984737
PSMB5,204,87.53542942850319
GLRA4,11,7.299570242387289
PRKAB1,72,47.14869302114266
SHFM1,205,91.44337786248768
PRKAA2,75,48.42715691812199
SLC9A3R2,28,25.82747902187226
CYP51A1,31,16.54237024213606
NFYC,35,25.260233244899936
SIGMAR1,18,14.008978382074545
IDI1,29,14.980943016309825
MSMO1,26,15.139557161686414
PRPF19,302,93.6561194646545
TM7SF2,22,13.202518204145697
LBR,27,21.59242245430632
SP1,189,119.24763978927103
MVK,34,20.07615438482544
C14orf1,16,10.32054548363959
HSD17B7,29,18.405622634486225
FDPS,37,19.68859457354855
PMVK,19,13.192749392722307
SC5D,26,13.296594901011261
DHCR24,24,13.862636573696424
HMGCS1,67,42.053123575202356
MVD,26,13.446539352356824
HMGCS2,50,34.52089154599509
DHCR7,39,20.57181320689083
NFYB,37,28.714254617736774
LSS,32,15.331129414972128
POR,39,32.77866345733441
FDFT1,59,32.17226490507884
INSIG1,16,13.328046816689119
CYB5A,22,19.04060391016332
NFYA,36,27.399384275160095
SQLE,44,22.398795659544003
HMGCR,48,33.57136413519746
NSDHL,23,12.019856238112338
SREBF2,54,39.182694183064754
USP28,16,15.398659146398915
FBXW7,338,65.4296252710279
USP14,80,62.79083323108566
TP53BP1,238,148.8893611794451
KDM1A,208,108.56906803674711
MYC,329,242.2113861985867
CLSPN,88,61.91805094455994
USP4,30,25.477355337220793
USP15,26,23.980682388912186
USP2,31,26.15256310620432
USP8,48,40.460906921080976
USP1,67,46.47739266754908
USP19,9,8.861879953447197
USP11,21,20.14240852096043
RCHY1,282,60.50402134425435
PDK4,16,12.232860177712972
PDK3,17,10.147793914455459
PDHX,27,15.780903988388863
FOXO1,131,109.7831509709848
CPT1B,14,11.294394253659226
UCP3,11,8.330016762530152
DLAT,63,40.32971991298865
PDK2,16,11.198794202862624
PDHB,79,47.88021807214952
PDP2,12,8.015003436435759
PDK1,30,24.521155614694695
PPARGC1A,154,90.90261809575645
PDHA1,60,35.73549921961517
PDHA2,54,32.006693900576465
DLD,78,52.034105148815236
USH1C,23,13.446005081874645
MYO15A,13,9.324075136804915
FAT4,5,4.865517241379311
CDHR5,4,2.575757575757576
CIB2,11,4.830286561264822
LIN7A,37,26.462578961874357
CDHR2,4,2.575757575757576
TAX1BP3,16,13.502941683398289
CDH23,23,11.468856867769912
DCHS2,3,2.187878787878788
USH2A,17,11.675381908164487
ANKS4B,3,2.5322793148880107
OTOG,4,3.9713759967286855
GPR98,12,6.3673112196130095
MYO7A,24,14.134002062363408
PCDH15,17,7.35541378910944
CNTN2,16,14.456946409334892
DCHS1,4,2.8545454545454545
USH1G,13,6.4782663592446195
TMPRSS3,8,5.6059149184149195
CLRN1,10,3.930286561264822
USHBP1,4,3.8045112781954886
MYO7B,4,2.0303030303030303
RALA,64,50.45974275901617
RALGAPB,5,4.4777978702029335
MAPK12,123,89.48865762610203
RALB,27,24.508833590398808
RAB10,102,39.90537197251584
RGL1,23,20.939677614501047
SRC,475,282.62890447081634
SLC2A4,118,72.47516326350109
RGL2,16,15.087470367635492
EXOC6B,9,7.923872280652961
MAPK13,104,78.8854261364532
ASPSCR1,36,27.235808162067155
SNAP23,196,77.67587095843487
MAPK14,300,213.65600257953415
MAPK9,125,98.37430752429893
EXOC7,58,36.85126192914478
MYH9,84,54.296551450685655
EXOC5,49,29.07886563061309
MYO5A,58,43.1926200183839
EXOC2,55,33.586765807389604
AURKA,315,171.18686898204777
EXOC8,48,27.810214036389635
PPP2R1B,266,149.76380226949655
NRAS,359,198.37997788449326
EXOC6,44,28.26646923451615
STAT4,89,73.94781328904713
MAPK8,319,233.71134238843717
PLD1,187,77.04224417213082
ARF6,143,117.13325834822868
RAB14,168,68.50232782922905
RAC2,255,125.88901896039549
RHOA,465,255.22561530679388
YBX3,4,4.0
EXOC1,46,26.595610874112566
RALGAPA2,5,3.3527978702029335
C2CD5,24,17.324645509175024
CNKSR2,58,28.10338022931031
MYO1E,11,10.48602076346302
RALGDS,33,29.862721903601045
RAB13,102,42.594152626820495
HRAS,410,249.60553293961388
RALGPS1,2,2.0
MAPK10,115,92.1150285847022
PLD2,91,62.52703994589889
MAPK11,208,148.3551265358381
MYO1C,71,52.140136421650126
RAC1,503,253.80635094280862
EXOC3,52,33.85087757046685
STX4,92,59.350340953717414
RAB8A,229,87.11540567453173
RAB4A,92,39.73959114180388
KRAS,326,195.1249925989814
RALBP1,45,41.474232674386045
RAC3,234,109.8102192619115
MYH10,61,37.32654178351967
EXOC4,57,34.57400039090181
STXBP3,38,26.958254149559668
BAIAP2L1,3,2.9851455733808674
WAS,103,73.65149596207286
