2145	HTR4	31.504996190508226
14347	CRHBP	3.7750212044105176
2147	HTR6	32.46716239717187
2101	HTR7	40.796402760977536
15297	FAM19A2	0.0
14394	FAM19A1	2.0
11247	BBX	2.0
14910	FAM19A4	2.0
11763	WDR83OS	7.902047283586283
7725	GSTK1	20.04622247991804
8543	DHDH	10.058622703359546
3489	BCR	64.60325649317747
14261	ORAI3	8.24772286711774
14258	ORAI2	10.730402588381184
275	AGTR1	113.58865560696007
10572	VOPP1	2.0
12522	ORAI1	14.85850786697357
1361	AGTR2	63.584673297721416
5011	COL13A1	11.63670709565475
5643	SHMT2	33.30397302153809
9977	TARSL2	14.280867394405313
5648	SHMT1	30.65974463775125
7015	H326	22.477832517340055
16593	ENSP00000460885	2.0
10843	T	4.0
8750	RDH12	15.64694610638294
9167	RDH11	13.021900780407083
9168	RDH10	15.045938916287325
9175	RDH16	10.74138988008521
14861	RDH14	3.0
10801	RDH13	7.6509998388050295
17103	GTF2IRD2B	0.0
6083	GSTM4	18.679415339759522
5841	GSTM3	24.012636048538198
5840	GSTM2	21.213060517042177
5838	GSTM1	32.003084459018375
10146	NEBL	3.0
5885	DHFR	29.923190793775152
15164	STRC	5.535103785103785
13434	PKIA	6.9771669017254805
3820	STRN	19.879980147014415
16168	L1TD1	1.8656330749354004
16733	PKIG	1.0
6065	GSTM5	19.68584747109958
12555	GTF2H2C	12.17913285263084
6942	KCNC1	15.245382056163042
13904	KCNC2	12.396960112018283
8597	KCNC3	6.984939262353652
12353	KCNC4	7.722222222222222
5415	BBC3	12.83885255954896
15312	NPAP1	3.5119047619047623
14567	GLT1D1	2.0
6101	NEFL	29.82345017519303
6130	NEFM	11.37592471086136
6121	NEFH	7.574723911851702
6893	MYBPC3	19.132360577276323
9389	MYBPC1	15.188058200781505
7879	KCND1	10.36111111111111
9387	MYBPC2	14.74014620405492
3828	KCND2	18.234848484848484
6081	GSTO2	20.425003872708896
13271	KCND3	15.525812482585653
6082	GSTO1	21.055891178813
2082	BGN	40.8145109900742
14295	TMEFF2	1.0
11651	PKN3	10.944745951182611
15394	SYNPO2	4.332467532467533
13755	KCNA1	14.964070491645291
5832	GSTP1	35.9711569708186
3015	PTAFR	96.0477393258545
13269	KCNA2	18.532442013814588
912	ADAM22	9.704787800517169
13272	KCNA3	10.362156444196499
3149	KIAA2022	3.685714285714286
13268	KCNA4	14.72048714734785
12536	ADAM21	2.806388853489656
9751	KCNA5	12.603428308779936
12535	ADAM20	3.5825326443393295
14531	KCNA6	2.0
8558	KCNA7	5.0
5181	SDAD1	61.337645376418834
13005	ADAM29	1.0
13928	ADAM28	2.9845994971264367
903	ADAM23	8.038895697190421
2955	STX6	40.66210466404099
1384	STX5	71.33868948204709
878	STX4	59.350340953717414
2969	STX3	35.504548709662416
3973	BID	36.72278006642368
2970	STX2	28.04365229996592
15247	SPDEF	9.609336705415137
3420	MBD3	63.8499346647022
7395	MBD4	7.512898659269281
14268	MBD5	14.527915223147206
14271	MBD6	14.527915223147206
13651	GATSL3	3.275
7417	PKLR	60.5369437997546
6768	BIK	7.944752713490514
9000	KCNB1	19.097618122056875
15277	KCNB2	4.0
11679	MBD1	6.817701669892708
10694	MBD2	41.04911545684812
16425	ADAM33	1.3333333333333335
2487	KIAA2012	34.57185978105029
16868	ADAM32	1.0
12540	ADAM30	4.023055520156323
10703	KIAA2013	15.037304388367081
2947	PRKRIR	6.501515151515152
9116	MITD1	10.889024923315576
11653	PKN2	15.173160242039984
11655	PKN1	48.994536731529905
11733	KCNG1	5.0
13900	KCNG2	13.396960112018283
15276	KCNG3	7.0964285714285715
7687	KCNG4	6.0
11628	RASL11B	1.0
4460	FBXO27	31.028242622918462
11048	RASL11A	2.0
10043	FBXO28	4.951881720430108
3255	FBXO25	25.696643387035227
3999	GOLIM4	16.262480684246786
10047	FBXO24	5.0283164161722045
4552	FBXO21	30.534712257017777
4379	FBXO22	32.58572235802786
14469	FADS3	2.42010582010582
11144	FADS2	23.045779598907988
9110	PTAR1	2.0
11516	POFUT2	8.667929428147426
11407	FNTA	14.907395866044665
14252	MYBPHL	2.0
12584	POFUT1	7.978903369845399
8479	POTEI	15.229956947424634
10858	FADS6	3.7666666666666666
8484	POTEJ	15.229956947424634
11398	FNTB	11.053917473092588
15123	POTED	0.75
8738	TNFRSF8	17.059047374908943
13876	NEK1	4.0
8476	POTEE	15.229956947424634
8472	POTEF	32.385982722116474
3888	NEK2	86.00764398819037
17186	NEK3	1.0
5498	TNFRSF4	17.35175508351835
7776	FADS1	17.545017744766813
13086	KCNH1	13.115025690718014
15125	POTEC	0.75
3515	KCNH2	20.61752159938009
1820	PIAS4	65.05984593043445
12697	KCNH3	7.8081181415003265
6997	PIAS3	57.443310072654484
13765	KCNH4	3.0
5070	DGAT2	25.512525281053918
14259	KCNH5	6.939274855579203
6979	FBXO18	42.010124362126945
13270	KCNH6	4.826847982238474
3341	DGAT1	65.36258475276652
15272	KCNH7	4.0
2962	STX8	28.6042452436502
15275	KCNH8	3.0
10039	FBXO16	5.733921891832545
4605	FBXO17	31.028242622918462
2954	STX7	41.69719705520301
4431	FBXO15	30.53471225701777
4374	FBXO10	31.52795550026101
4476	FBXO11	34.9439473119012
9115	PIAS2	20.88660820403209
6980	PIAS1	62.91963112590349
8793	LENG1	5.991264887358302
13913	NPAS4	10.43867243867244
9408	MINPP1	24.95160273403424
13038	DMTF1	5.948711340206185
3216	PKP2	16.661577001057662
3239	PKP1	14.791089914449534
3228	PKP4	20.028939242329006
3225	PKP3	18.41310015226642
